id_empleado,nombre,apellido,edad,departamento,cargo,salario,fecha_contratacion,ciudad,activo,nombre_completo,bono,nombre_mayusculas,email,apellido_3_letras,antiguedad_dias
1001,Empleado_1,Apellido_1,50,RRHH,Contador,71659.75,2018-01-01,Valencia,true,Empleado_1 Apellido_1,3582.9875,EMPLEADO_1,Empleado_1.Apellido_1@RRHH,Ape,2906
1002,Empleado_2,Apellido_2,36,IT,Desarrollador,38668.23,2018-06-30,Madrid,true,Empleado_2 Apellido_2,1933.4115000000002,EMPLEADO_2,Empleado_2.Apellido_2@IT,Ape,2726
1003,Empleado_3,Apellido_3,29,Operaciones,Contador,49553.03,2018-12-27,Sevilla,true,Empleado_3 Apellido_3,2477.6515,EMPLEADO_3,Empleado_3.Apellido_3@Operaciones,Ape,2546
1004,Empleado_4,Apellido_4,42,Finanzas,Analista,39111.8,2019-06-25,Barcelona,true,Empleado_4 Apellido_4,1955.5900000000001,EMPLEADO_4,Empleado_4.Apellido_4@Finanzas,Ape,2366
1005,Empleado_5,Apellido_5,40,RRHH,Gerente,67768.07,2019-12-22,Madrid,true,Empleado_5 Apellido_5,3388.4035000000003,EMPLEADO_5,Empleado_5.Apellido_5@RRHH,Ape,2186
1006,Empleado_6,Apellido_6,44,Ventas,Diseñador,51257.79,2020-06-19,Sevilla,true,Empleado_6 Apellido_6,2562.8895,EMPLEADO_6,Empleado_6.Apellido_6@Ventas,Ape,2006
1007,Empleado_7,Apellido_7,32,Ventas,Analista,40397.08,2020-12-16,Sevilla,false,Empleado_7 Apellido_7,2019.8540000000003,EMPLEADO_7,Empleado_7.Apellido_7@Ventas,Ape,1826
1008,Empleado_8,Apellido_8,32,Marketing,Diseñador,58385.02,2021-06-14,Sevilla,true,Empleado_8 Apellido_8,2919.251,EMPLEADO_8,Empleado_8.Apellido_8@Marketing,Ape,1646
1009,Empleado_9,Apellido_9,45,Marketing,Asistente,31565.66,2021-12-11,Madrid,false,Empleado_9 Apellido_9,1578.2830000000001,EMPLEADO_9,Empleado_9.Apellido_9@Marketing,Ape,1466
1010,Empleado_10,Apellido_10,57,IT,Gerente,72114.24,2022-06-09,Madrid,false,Empleado_10 Apellido_10,3605.7120000000004,EMPLEADO_10,Empleado_10.Apellido_10@IT,Ape,1286
1011,Empleado_11,Apellido_11,45,RRHH,Gerente,52487.71,2022-12-06,Madrid,true,Empleado_11 Apellido_11,2624.3855000000003,EMPLEADO_11,Empleado_11.Apellido_11@RRHH,Ape,1106
1012,Empleado_12,Apellido_12,24,RRHH,Analista,49757.51,2023-06-04,Valencia,true,Empleado_12 Apellido_12,2487.8755,EMPLEADO_12,Empleado_12.Apellido_12@RRHH,Ape,926
1013,Empleado_13,Apellido_13,43,Operaciones,Gerente,76332.94,2023-12-01,Madrid,true,Empleado_13 Apellido_13,3816.6470000000004,EMPLEADO_13,Empleado_13.Apellido_13@Operaciones,Ape,746
1014,Empleado_14,Apellido_14,23,Operaciones,Contador,66363.6,2024-05-29,Madrid,true,Empleado_14 Apellido_14,3318.1800000000003,EMPLEADO_14,Empleado_14.Apellido_14@Operaciones,Ape,566
1015,Empleado_15,Apellido_15,45,Operaciones,Gerente,46327.04,2024-11-25,Madrid,true,Empleado_15 Apellido_15,2316.3520000000003,EMPLEADO_15,Empleado_15.Apellido_15@Operaciones,Ape,386
1016,Empleado_16,Apellido_16,51,Marketing,Diseñador,58522.2,2025-05-24,Valencia,true,Empleado_16 Apellido_16,2926.11,EMPLEADO_16,Empleado_16.Apellido_16@Marketing,Ape,206
1017,Empleado_17,Apellido_17,59,RRHH,Diseñador,56041.71,2025-11-20,Madrid,true,Empleado_17 Apellido_17,2802.0855,EMPLEADO_17,Empleado_17.Apellido_17@RRHH,Ape,26
1018,Empleado_18,Apellido_18,23,RRHH,Diseñador,78058.6,2026-05-19,Sevilla,true,Empleado_18 Apellido_18,3902.9300000000003,EMPLEADO_18,Empleado_18.Apellido_18@RRHH,Ape,-154
1019,Empleado_19,Apellido_19,42,Ventas,Diseñador,72226.69,2026-11-15,Madrid,true,Empleado_19 Apellido_19,3611.3345000000004,EMPLEADO_19,Empleado_19.Apellido_19@Ventas,Ape,-334
1020,Empleado_20,Apellido_20,54,Marketing,Contador,67366.01,2027-05-14,Sevilla,false,Empleado_20 Apellido_20,3368.3005,EMPLEADO_20,Empleado_20.Apellido_20@Marketing,Ape,-514
